"date","temp"
41944,18.5
41945,17.4
41946,15.3
41947,10.9
41948,9.5
41949,8.2
41950,9.8
41951,12.9
41952,12.8
41953,12.6
41954,12.9
41955,12.2
41956,13.3
41957,12.4
41958,11
41959,9.2
41960,12.3
41961,8.3
41962,9.1
41963,8
41964,9
41965,11.8
41966,13.5
41967,11.3
41968,9.1
41969,6.4
41970,8.8
41971,9.5
41972,4.9
41973,3.1
41974,2.4
41975,1.4
41976,1
41977,1.5
41978,5.3
41979,9.1
41980,6.7
41981,4.9
41982,4.9
41983,9.9
41984,7.7
41985,9.4
41986,6.8
41987,4.8
41988,7.9
41989,7.8
41990,10.6
41991,12.5
41992,12.4
41993,9.1
41994,10.3
41995,12.8
41996,12.8
41997,10
41998,7.9
41999,5.2
42000,2.9
42001,3.4
42002,5.6
42003,6.5
42004,7.6
42005,4.7
42006,10.1
42007,5.9
42008,8
42009,3.8
42010,5.8
42011,7.2
42012,8.2
42013,13.7
42014,13.3
42015,8.2
42016,10.2
42017,11
42018,6
42019,10.3
42020,8.3
42021,5.9
42022,3.3
42023,1.6
42024,3.7
42025,1.5
42026,0.4
42027,-1.3
42028,6.8
42029,5.6
42030,8.3
42031,7.7
42032,7.2
42033,4.5
42034,4.4
42035,4.4
42036,5.7
42037,5.5
42038,6.3
42039,5.3
42040,2
42041,3.1
42042,5.5
42043,6.7
42044,7.2
42045,7.2
42046,5.4
42047,4.5
42048,9.9
42049,10.2
42050,6.7
42051,7.7
42052,9
42053,8.1
42054,7.4
42055,6.5
42056,6.3
42057,6.8
42058,9.8
42059,8.9
42060,8.7
42061,8.3
42062,8.2
42063,9.1
42064,10.7
42065,8.4
42066,7.5
42067,7.6
42068,10.3
42069,9
42070,13.9
42071,15.7
42072,11.3
42073,11.3
42074,9.5
42075,12.7
42076,9.2
42077,5.3
42078,6.8
42079,12.8
42080,17.8
42081,8.8
42082,12.6
42083,9.3
42084,9.3
42085,8.6
42086,9.3
42087,11.5
42088,6.9
42089,7.3
42090,8.9
42091,11.7
42092,11.3
42093,9.1
42094,11.1
42095,9.1
42096,8.6
42097,9.5
42098,9.4
42099,11.3
42100,11.7
42101,13.2
42102,14.2
42103,18.1
42104,19.6
42105,13.6
42106,15.5
42107,12.8
42108,20
42109,23
42110,13.4
42111,12.9
42112,14.4
42113,15.2
42114,17.1
42115,17.4
42116,12.1
42117,15.5
42118,20.4
42119,15
42120,13.9
42121,12.6
42122,11.8
42123,14.7
42124,14.2
42125,13.3
42126,15.8
42127,17
42128,19.4
42129,22.2
42130,15.5
42131,16.2
42132,19.4
42133,16.1
42134,19.1
42135,25.6
42136,17.5
42137,18.1
42138,16.7
42139,14.4
42140,14.9
42141,16.2
42142,14
42143,13.7
42144,14.7
42145,17.4
42146,19.9
42147,15.7
42148,19.9
42149,15.3
42150,15.8
42151,18.9
42152,16.5
42153,15.8
42154,15.4
42155,16.5
42156,16.1
42157,17.7
42158,17.7
42159,22
42160,31.8
42161,18.9
42162,18.9
42163,17.2
42164,15
42165,20.8
42166,24
42167,27.4
42168,21.3
42169,19.5
42170,17.5
42171,17.7
42172,22.7
42173,16.6
42174,15.3
42175,16.3
42176,18.5
42177,15.3
42178,15.1
42179,21.5
42180,24
42181,25
42182,21.8
42183,23.2
42184,24.2
42185,27.3
42186,33.1
42187,33.1
42188,29.1
42189,32.7
42190,28.2
42191,23.8
42192,25.8
42193,19.6
42194,17.6
42195,22.6
42196,28.7
42197,20.4
42198,19.6
42199,21.3
42200,21.1
42201,25.1
42202,25.6
42203,22.1
42204,20.5
42205,21.4
42206,25.4
42207,23.1
42208,21.7
42209,23.3
42210,18.3
42211,20.9
42212,19.7
42213,18.9
42214,17.6
42215,18.1
42216,19.4
42217,22
42218,24.2
42219,30
42220,21.5
42221,25
42222,28.4
42223,27
42224,23
42225,24.3
42226,25.2
42227,25.4
42228,23
42229,28.4
42230,25.4
42231,22.1
42232,16.6
42233,15.2
42234,16.8
42235,22.5
42236,24.9
42237,25.3
42238,26.5
42239,25.9
42240,23.1
42241,19.9
42242,25.2
42243,18.5
42244,20.9
42245,23.6
42246,25.3
42247,26.5
42248,19.5
42249,18.8
42250,17.1
42251,16.6
42252,16.9
42253,17
42254,16.9
42255,16.9
42256,18.5
42257,19.6
42258,20.1
42259,20.2
42260,19.4
42261,19.8
42262,15.9
42263,19.2
42264,16.4
42265,18.4
42266,17.5
42267,18.1
42268,18.6
42269,17.4
42270,17.3
42271,15.7
42272,16.8
42273,16.8
42274,17.5
42275,16
42276,17.4
42277,17.5
42278,16.9
42279,18.3
42280,18.8
42281,17.9
42282,16.9
42283,17.6
42284,17.6
42285,15.9
42286,16.3
42287,14.3
42288,11.5
42289,10.2
42290,5.9
42291,8
42292,8
42293,8.4
42294,9
42295,10.9
42296,12.5
42297,12.6
42298,12.5
42299,14.8
42300,14.1
42301,13.8
42302,14.3
42303,15.8
42304,17.3
42305,13.3
42306,15.6
42307,15
42308,14.3
42309,16
42310,15.9
