Country Name,Country Code,2011
Netherlands,NLD,61.78940443
Germany,DEU,53.31595717
France,FRA,90.60314167
Belgium,BEL,88.58724478
Belarus,BLR,40.75485188
Serbia,SRB,..
Switzerland,CHE,24.26987278
Macedonia,FYR,..
Italy,ITA,108.8991092
Austria,AUT,73.12199887
Sweden,SWE,36.6592581
Portugal,PRT,90.15611359
Croatia,HRV,..
Denmark,DNK,47.96913283
Latvia,LVA,29.77411002
Romania,ROM,..
Czech Republic,CZE,36.36115879
Albania,ALB,..
Finland,FIN,45.95797205
United Kingdom,GBR,94.58377661
Ireland,IRL,97.79627613
Poland,POL,..
Bosnia and Herzegovina,BIH,..
Bulgaria,BGR,14.83065711
Estonia,EST,6.56372304
Moldova,MDA,23.70905587
Spain,ESP,54.59230226
Hungary,HUN,81.22527268
Iceland,ISL,112.8521345
Slovak Republic,SVK,44.83951991
Lithuania,LTU,148.2028847
Greece,GRC,108.6992149
Slovenia,SVN,..
Norway,NOR,20.28064025
Ukraine,UKR,27.4827595
