iso,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,4.505716831,3.663991124,0.929833049,2.833093401,-0.711812688
DZA,5.092137119,2.116764798,6.153984215,2.596130207,1.608452297,0,0,0,0,0
ASM,0,0,0,0,0,0,0,0,0,0
ADO,0,0,0,0,0,0,0,0,0,0
AGO,2.152305915,16.35261355,27.77155147,1.569318829,26.25918025,-2.574948956,0.3945051,3.402857159,11.47984348,2.383473866
ATG,0,0,0,0,0,0,0,0,0,0
ARG,11.27817724,9.110609204,8.826266339,3.463123873,-0.195093032,9.259070982,8.260860721,0.854395646,3.07132337,0
ARM,15.24965709,13.8011844,14.48628678,7.387480115,-15.76158257,3.075313872,3.184558851,7.694393659,4.305637597,3.20454848
ABW,0,0,0,0,0,0,0,0,0,0
AUS,2.319783077,2.750877921,3.116543686,4.061136073,2.282166041,1.584220652,2.021126125,4.802161499,3.137133323,2.70603547
AUT,1.972785144,3.956848661,3.140340472,2.477655739,-4.509878673,2.796949592,2.619372221,1.357977553,-0.761829301,0
AZE,16.4283093,30.10355548,18.53161593,18.6258543,19.59686874,7.475476755,-2.236644534,1.870359769,9.52248992,4.908915083
BHS,2.00904298,2.194221725,1.342434231,-0.505483594,-4.97244377,0.571090033,0.706840609,1.973036527,-0.604743194,-0.11734995
BHR,0,0,8.905548916,3.712076211,-3.860867126,4.800172981,-3.457161625,4.492321416,0,0
BGD,6.639278072,7.901164399,7.866668788,7.058937902,5.287494894,5.754092691,6.209780659,7.01135331,5.626468557,4.812611534
BRB,0,0,0,0,0,0,0,0,0,0
BLR,9.500089326,9.371349824,7.85214217,9.592540112,-0.842448844,7.928447428,6.602994464,-0.068423126,-0.796492564,2.452080744
BEL,1.549744123,2.707775015,3.188388926,1.498028223,-4.7646925,4.946309094,0.849698538,0.759709294,-2.396742148,2.779773523
BLZ,3.624396308,4.605146117,-1.475975062,3.727775369,6.49506197,0.104321634,5.30158411,2.728365244,1.819288988,0
BEN,3.370726517,3.539564786,5.086119218,5.006322265,2.352284553,2.320293486,3.836330726,4.980586224,5.564279273,5.380098927
BMU,0,0,0,0,0,0,0,0,0,0
BTN,8.070316398,7.969127883,16.81544421,3.503793374,5.047453369,9.909416008,7.102605053,3.372035628,3.504240164,8.671476027
BOL,4.898974621,5.170115169,4.313322963,6.6735692,2.769814714,3.335836555,4.530546748,3.624276289,6.621372611,0
BIH,0,0,0,0,0,0,0.101184643,-1.102702689,2.84962075,0
BWA,7.362502139,9.209108288,9.231273541,8.055588313,-4.668898297,6.402444289,9.824046754,5.7368286,8.352601517,4.710552225
BRA,3.322297519,4.486122626,6.441814321,4.694317827,0.158856365,7.814451296,3.880367313,2.141352875,2.582770065,0
BRN,0.387506909,4.397720159,0.862442593,-1.944943943,-1.743673292,0,0,0,0,0
BGR,5.064384134,3.610461309,1.669863076,8.628611317,-3.657609955,0.904576053,0.364162858,1.907280723,-0.134491835,3.301995229
BFA,8.949293842,6.612658023,5.424480564,7.291603624,2.902860417,11.59098332,0.418303467,5.520502144,0.96484532,13.32704055
BDI,2.25097805,6.405560235,4.993993109,5.235236881,2.727784461,4.113102375,4.067136178,4.429799618,4.939576468,4.723479093
CPV,0,0,0,6.059811367,-1.222066096,-0.468100655,4.540454667,0,0,0
KHM,12.6116612,11.00509002,10.35042921,6.157086349,0.017917605,5.577862918,7.602234957,7.690069071,7.000605101,6.751929906
CMR,1.902665109,4.788936168,2.16381482,3.640570613,3.246543866,2.599626576,4.116233831,4.001345582,5.122211381,7.191726955
CAN,3.258436559,3.097633782,2.119747961,1.103778513,-2.903388644,3.156529012,3.058070805,2.020439846,2.312906393,2.418247145
CYM,0,0,0,0,0,0,0,0,0,0
CAF,1.245485252,3.652557956,4.76485099,1.565118567,2.519759347,3.818575102,3.259324222,4.200357652,-36.13826152,1.04833438
TCD,24.29276705,0,0,0,0,0,0,0,0,0
CHI,0,0,0,0,0,0,0,0,0,0
CHL,4.584564252,-0.458393079,6.420623129,8.265502388,-0.349130367,4.946030976,7.263856818,7.122695323,4.699921775,2.461280338
CHN,10.84782086,13.29196207,14.66784896,10.03758205,8.394991693,10.36058889,8.950240136,8.480202676,7.443888397,0
COL,4.521274357,6.763856581,6.593097753,3.259990002,2.079418744,3.508730213,5.610493604,4.676794129,5.363474393,4.967181169
COM,2.987582043,2.738513434,0.9232205,0.400004449,1.955749909,2.203409587,2.603492308,3.003660675,3.503550458,3.006830745
ZAR,4.76264657,6.410660935,5.579405398,3.045750459,5.982352843,0,0,0,0,0
COG,-0.241064966,11.2937386,-11.26966203,19.47117724,16.31212682,2.658634329,0.9393346,22.40134744,10.3944689,16.06299213
CRI,7.293279967,9.88004911,4.690860946,4.547840974,-3.191707963,6.580244856,5.15561014,4.760531061,3.042601682,0
CIV,0,0,0,0,0,2.048018023,-4.453640393,11.48853659,7.65652938,0
