Country Code,GINI
AFG,NA
ALB,28.96
DZA,NA
ASM,NA
ADO,NA
AGO,42.72
ATG,NA
ARG,42.28
ARM,31.54
ABW,NA
AUS,NA
AUT,30.48
AZE,NA
BHS,NA
BHR,NA
BGD,31.98
BRB,NA
BLR,26.01
BEL,27.59
BLZ,NA
BEN,43.44
BMU,NA
BTN,38.65
BOL,48.06
BIH,NA
BWA,60.46
BRA,52.87
BRN,NA
BGR,36.01
BFA,NA
BDI,33.36
CPV,47.19
KHM,30.76
CMR,42.82
CAN,33.68
CYM,NA
CAF,56.24
TCD,43.32
CHI,NA
CHL,50.45
CHN,42.06
COL,53.49
COM,NA
ZAR,42.1
COG,40.16
CRI,49.18
CIV,43.18
HRV,31.98
CUB,NA
CUW,NA
CYP,34.31
CZE,26.13
DNK,29.08
DJI,45.13
DMA,NA
DOM,47.07
ECU,47.29
EGY,30.75
SLV,43.51
GNQ,NA
ERI,NA
EST,33.15
ETH,NA
FRO,NA
FJI,42.78
FIN,27.12
FRA,33.1
PYF,NA
GAB,NA
GMB,NA
GEO,40.03
DEU,30.13
GHA,NA
GRC,36.68
GRL,NA
GRD,NA
GUM,NA
GTM,52.35
GIN,33.73
GNB,50.66
GUY,NA
HTI,60.79
HND,53.67
HKG,NA
HUN,30.55
ISL,26.94
IND,33.9
IDN,35.57
IRN,37.35
IRQ,29.54
IRL,32.52
IMY,NA
ISR,42.78
ITA,35.16
JAM,41.11
JPN,32.11
JOR,32.57
KAZ,26.35
KEN,NA
KIR,37.61
PRK,NA
KOR,NA
KSV,26.71
KWT,NA
KGZ,27.37
LAO,37.89
LVA,35.48
LBN,NA
LSO,54.18
LBR,36.48
LBY,NA
LIE,NA
LTU,35.15
LUX,34.79
MAC,NA
MKD,44.05
MDG,40.63
MWI,46.12
MYS,46.26
MDV,36.78
MLI,33.04
MLT,NA
MHL,NA
MRT,37.48
MUS,35.84
MEX,48.07
FSM,61.18
MDA,28.53
MCO,NA
MNG,33.75
MNE,33.19
MAR,40.72
MOZ,45.58
MMR,NA
NAM,60.97
NPL,32.75
NLD,27.99
NCL,NA
NZL,NA
NIC,45.73
NER,31.45
NGA,42.97
MNP,NA
NOR,25.9
OMN,NA
PAK,29.59
PLW,NA
PAN,51.67
PNG,43.88
PRY,48.3
PER,44.73
PHL,43.04
POL,32.39
PRT,36.04
PRI,NA
QAT,NA
ROM,27.33
RUS,41.59
RWA,51.34
WSM,42.69
SMR,NA
STP,30.82
SAU,NA
SEN,40.28
SRB,29.65
SYC,42.77
SLE,33.99
SGP,NA
SXM,NA
SVK,26.12
SVN,25.59
SLB,NA
SOM,NA
ZAF,63.38
SSD,NA
ESP,35.89
LKA,38.58
KNA,NA
LCA,NA
MAF,NA
VCT,NA
SDN,35.39
SUR,NA
SWZ,51.45
SWE,27.32
CHE,31.64
SYR,NA
TJK,30.77
TZA,37.78
THA,39.26
TMP,31.56
TGO,46.02
TON,38.1
TTO,NA
TUN,35.81
TUR,40.17
TKM,NA
TCA,NA
TUV,NA
UGA,42.37
UKR,24.55
ARE,NA
GBR,32.57
USA,41.06
URY,41.87
UZB,36.1
VUT,37.18
VEN,46.94
VNM,38.7
VIR,NA
WBG,34.46
YEM,NA
ZMB,55.62
ZWE,NA
